emoji,sentiment_score,count,pos_ratio,neg_ratio,neu_ratio,percent_very_pos,percent_pos,percent_somewhat_pos,percent_neutral,percent_very_neg,percent_neg,percent_somewhat_neg,confidence_interval
💕,0.5884543761638733,179,0.873015873015873,0.037037037037037035,0.08994708994708994,0.30726256983240224,0.3743016759776536,0.17318435754189945,0.09497206703910614,0.00558659217877095,0.01675977653631285,0.027932960893854747,0.10778426821842738
💖,0.5942857142857143,175,0.8870056497175142,0.005649717514124294,0.10734463276836158,0.26285714285714284,0.38857142857142857,0.22857142857142856,0.10857142857142857,0.0,0.0,0.011428571428571429,0.10730883478534516
😁,0.36590038314176243,174,0.718213058419244,0.061855670103092786,0.21993127147766323,0.040229885057471264,0.3850574712643678,0.3103448275862069,0.1839080459770115,0.0,0.022988505747126436,0.05747126436781609,0.10805045760014541
😩,-0.09441233140655106,173,0.21212121212121213,0.3771043771043771,0.4107744107744108,0.023121387283236993,0.09826589595375723,0.09826589595375723,0.35260115606936415,0.028901734104046242,0.16184971098265896,0.23699421965317918,0.11658716823638253
😔,-0.2874251497005988,167,0.1443661971830986,0.6514084507042254,0.20422535211267606,0.011976047904191617,0.059880239520958084,0.08982035928143713,0.17365269461077845,0.03592814371257485,0.3712574850299401,0.25748502994011974,0.11582726756247208
😆,0.3523206751054852,158,0.7164750957854407,0.07662835249042145,0.20689655172413793,0.02531645569620253,0.3924050632911392,0.3227848101265823,0.17088607594936708,0.006329113924050633,0.02531645569620253,0.056962025316455694,0.11229760768875348
🙂,0.12337662337662338,154,0.4765957446808511,0.23404255319148937,0.28936170212765955,0.025974025974025976,0.12337662337662338,0.4025974025974026,0.22077922077922077,0.01948051948051948,0.09090909090909091,0.11688311688311688,0.12090634742883874
🥰,0.7248322147651006,149,0.9585798816568047,0.0,0.04142011834319527,0.4429530201342282,0.33557046979865773,0.174496644295302,0.04697986577181208,0.0,0.0,0.0,0.10773655314618547
😢,-0.3125,144,0.13688212927756654,0.6501901140684411,0.21292775665399238,0.0,0.09027777777777778,0.06944444444444445,0.19444444444444445,0.16666666666666666,0.20833333333333334,0.2708333333333333,0.13227880809795275
🤦‍,-0.2422062350119904,139,0.13023255813953488,0.6,0.26976744186046514,0.014388489208633094,0.050359712230215826,0.05755395683453238,0.20863309352517986,0.02158273381294964,0.2158273381294964,0.4316546762589928,0.12192136210452126
💙,0.446078431372549,136,0.8486238532110092,0.013761467889908258,0.13761467889908258,0.08088235294117647,0.3235294117647059,0.47058823529411764,0.11029411764705882,0.0,0.007352941176470588,0.007352941176470588,0.11316948969316444
👌,0.36694677871148457,119,0.7142857142857143,0.06896551724137931,0.21674876847290642,0.06722689075630252,0.35294117647058826,0.31092436974789917,0.18487394957983194,0.0,0.03361344537815126,0.05042016806722689,0.13424833663534216
🙃,-0.17101449275362315,115,0.17964071856287425,0.5329341317365269,0.2874251497005988,0.0,0.08695652173913043,0.08695652173913043,0.20869565217391303,0.017391304347826087,0.12173913043478261,0.4782608695652174,0.13193393536787387
🔥,0.46956521739130436,115,0.7844036697247706,0.04128440366972477,0.1743119266055046,0.10434782608695652,0.4956521739130435,0.1826086956521739,0.16521739130434782,0.0,0.02608695652173913,0.02608695652173913,0.12933754364603386
💯,0.4824561403508772,114,0.8,0.06666666666666667,0.13333333333333333,0.14035087719298245,0.5,0.15789473684210525,0.13157894736842105,0.017543859649122806,0.02631578947368421,0.02631578947368421,0.1312544947972898
😌,0.14880952380952378,112,0.46551724137931033,0.1781609195402299,0.3563218390804598,0.008928571428571428,0.16071428571428573,0.375,0.2767857142857143,0.03571428571428571,0.026785714285714284,0.11607142857142858,0.13952622537561737
💚,0.5208333333333333,112,0.8591549295774648,0.03755868544600939,0.10328638497652583,0.125,0.5089285714285714,0.24107142857142858,0.09821428571428571,0.017857142857142856,0.008928571428571428,0.0,0.12660590054991142
✨,0.6036036036036037,111,0.9055793991416309,0.04291845493562232,0.05150214592274678,0.2702702702702703,0.4594594594594595,0.17117117117117117,0.05405405405405406,0.009009009009009009,0.02702702702702703,0.009009009009009009,0.13046800037064943
💔,-0.279874213836478,106,0.19298245614035087,0.7134502923976608,0.0935672514619883,0.0,0.12264150943396226,0.0660377358490566,0.07547169811320754,0.02830188679245283,0.3584905660377358,0.3490566037735849,0.14038649293819677
💗,0.5775577557755776,101,0.8905472636815921,0.01990049751243781,0.08955223880597014,0.2376237623762376,0.40594059405940597,0.24752475247524752,0.0891089108910891,0.0,0.019801980198019802,0.0,0.1405860607358387
❤,0.5521885521885521,99,0.8663366336633663,0.054455445544554455,0.07920792079207921,0.26262626262626265,0.3838383838383838,0.21212121212121213,0.08080808080808081,0.010101010101010102,0.030303030303030304,0.020202020202020204,0.146332942695176
